loan_id,customer_id,age,gender,education,marital_status,employment_type,employment_length_months,annual_income,monthly_income,existing_emi,debt_to_income,credit_score,credit_history_length_months,delinquency_count,past_default_flag,loan_amount,loan_term_months,interest_rate,emi_amount,loan_purpose,loan_product,disbursal_date,repayment_status,first_emi_default_flag,loan_source_type,state,district,city,pincode,urban_rural_flag,branch_code,branch_region,service_area_cluster,distance_to_branch_km,area_default_rate,district_risk_score,state_risk_score,population_density_band,economic_activity_type,channel,has_mortgage,has_dependents,has_cosigner,loan_default
LN100000,C200000,41,Female,Graduate,Married,SelfEmployed,86,51000,4250,4114,0.183,740,195,1,1,311000,36,9.29,8706,Vehicle,Secured,2023-01-01,Active,0,New,Rajasthan,Udaipur,Udaipur,315012,Urban,CENTRAL,CentralZone,22,8.8,0.131,0.575,0.492,Medium,Salaried,Partner,Yes,Yes,No,1
LN100001,C200001,28,Male,Graduate,Married,Salaried,195,71000,5916,11349,0.457,509,300,1,0,286000,12,17.25,24176,Personal,Unsecured,2023-01-02,Active,1,New,Bihar,Bhagalpur,Bhagalpur,768778,Rural,WEST,EastZone,21,10.1,0.237,0.491,0.535,Low,MSME,Branch,No,No,No,1
LN100002,C200002,41,Female,PostGraduate,Married,Salaried,88,41000,3416,11706,0.264,832,114,1,0,295000,12,12.75,24845,Home,Unsecured,2023-01-03,Active,1,New,Tamil Nadu,Madurai,Madurai,167629,SemiUrban,SOUTH,CentralZone,28,9.3,0.248,0.527,0.548,Medium,Agri,Digital,No,No,No,1
LN100003,C200003,44,Male,Graduate,Married,SelfEmployed,32,73000,6083,6964,0.225,744,114,0,0,351000,24,11.15,14761,Education,Secured,2023-01-04,Active,0,New,Uttar Pradesh,Kanpur,Kanpur,524203,Urban,NORTH,EastZone,2,8.9,0.245,0.527,0.835,Low,Salaried,Digital,No,Yes,No,1
LN100004,C200004,24,Female,PostGraduate,Married,Unemployed,94,70000,5833,3264,0.371,667,146,0,0,329000,48,11.97,6923,Personal,Secured,2023-01-05,Active,1,New,Maharashtra,Nashik,Nashik,475942,Urban,WEST,EastZone,2,8.8,0.223,0.738,0.475,Medium,Salaried,Digital,No,Yes,No,1
LN100005,C200005,44,Female,Graduate,Single,Farmer,21,177000,14750,29722,0.136,897,93,0,0,1498000,24,13.36,63112,Agri,Unsecured,2023-01-06,Active,1,New,Maharashtra,Nagpur,Nagpur,327915,Rural,EAST,NorthZone,26,5.2,0.183,0.651,0.362,High,MSME,Branch,No,No,No,1
LN100006,C200006,41,Male,Graduate,Single,Salaried,30,115000,9583,6577,0.054,686,36,1,0,663000,48,20.41,14047,Business,Secured,2023-01-07,Active,0,New,Maharashtra,Pune,Pune,684860,Rural,WEST,SouthZone,19,1.8,0.115,0.423,0.516,Medium,Mixed,Digital,No,Yes,No,1
LN100007,C200007,52,Female,Graduate,Married,SelfEmployed,123,42000,3500,12619,0.321,526,156,1,0,318000,12,12.93,26786,Vehicle,Secured,2023-01-08,Active,0,New,Telangana,Hyderabad,Hyderabad,446709,Urban,NORTH,NorthZone,12,1.6,0.226,0.593,0.426,Medium,Mixed,Branch,No,Yes,No,1
LN100008,C200008,38,Female,HighSchool,Single,Salaried,74,40000,3333,2738,0.176,732,91,2,1,207000,36,17.65,5835,Vehicle,Unsecured,2023-01-09,Active,0,TopUp,Uttar Pradesh,Lucknow,Lucknow,261143,SemiUrban,CENTRAL,WestZone,21,23.8,0.202,0.779,0.867,High,Salaried,Branch,No,No,No,1
LN100009,C200009,41,Female,Graduate,Married,Salaried,62,117000,9750,8148,0.175,747,102,0,0,308000,18,6.82,17208,Vehicle,Unsecured,2023-01-10,Active,0,Repeat,Tamil Nadu,Madurai,Madurai,373193,Rural,WEST,SouthZone,21,7.8,0.176,0.456,0.546,Medium,Agri,Branch,No,No,Yes,1
